Id,Fecha,Anio,Mes,Día,Rol,Victima,Sexo,Edad,Gravedad,Rango_Etario,Sentencia,Cantidad_Víctimas,Hora,Parte_Horaria,Lugar_del_Hecho,Tipo_de_Calle,Calle,Cruce,Dirección_Normalizada,Comuna,Pos X,Pos Y,Participantes,Víctima,Acusado
"2016-0096,2016-07-25,2016,7,25,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,07:00:00,7,""AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3"",AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL,NO,AUTOPISTA DELLEPIANE LUIS TENIENTE GENERAL Y NO,8,-58.47433193007387,-34.66684950051973,MOTO-CARGAS,MOTO,CARGAS"
2016-0097,2016-07-26,2016,7,26,PEATON,PEATON,MASCULINO,80,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,18:45:00,18,SOLIS Y MEXICO,CALLE,SOLIS,SI,SOLIS Y SI,1,-58.39038605,-34.61562810,PEATON-AUTO,PEATON,AUTO
2016-0098,2016-07-27,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,16:08:00,16,AV SAN JUAN Y ALBERTI,AVENIDA,AV. SAN JUAN,SI,AV. SAN JUAN Y SI,3,-58.40042405,-34.62356174,MOTO-CARGAS,MOTO,CARGAS
2016-0099,2016-07-29,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,16:00:00,16,AV GRAL MOSCONI Y AV GRAL PAZ,AVENIDA,AV. MOSCONI GENERAL,SI,AV. MOSCONI GENERAL Y SI,11,-58.52340614,-34.59798754,CARGAS-CARGAS,CARGAS,CARGAS
2016-0100,2016-08-03,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,23:27:00,23,AV GRAL PAZ  Y DONADO,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,12,-58.49491054,-34.54795581,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0101,2016-08-07,2016,8,7,CONDUCTOR,MOTO,MASCULINO,67,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,19:42:00,19,AV GRAL PAZ Y JORGE CHAVEZ,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,9,-58.52932872,-34.65014993,SD-SD,SD,SD
2016-0102,2016-08-10,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,23:37:00,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,AV. EVA PERON,SI,AV. EVA PERON Y SI,9,-58.50011639,-34.67316502,MOTO-CARGAS,MOTO,CARGAS
2016-0104,2016-08-14,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,21:15:00,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,ZINNY,SI,ZINNY Y SI,9,-58.46635001,-34.65624369,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0105,2016-08-17,2016,8,17,PEATON,PEATON,MASCULINO,19,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,00:05:00,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,AV. FEDERICO LACROZE,SI,AV. FEDERICO LACROZE Y SI,15,-58.45343236,-34.58435809,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0106,2016-08-19,2016,8,19,PEATON,PEATON,MASCULINO,38,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,21:02:00,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,CARLOS PELLEGRINI,SI,CARLOS PELLEGRINI Y SI,1,-58.38090932,-34.58927731,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0107,2016-08-20,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,08:22:00,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI Y NO,4,-58.37157668,-34.65429986,MOTO-AUTO,MOTO,AUTO
2016-0109,2016-08-24,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,05:45:00,5,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,AUTOPISTA PERITO MORENO,SI,AUTOPISTA PERITO MORENO Y SI,9,-58.52280139,-34.63659934,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0110,2016-08-24,2016,8,24,PEATON,PEATON,MASCULINO,57,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,20:21:00,20,AV ALBERDI Y CARHUE,AVENIDA,AV. JUAN BAUTISTA ALBERDI,SI,AV. JUAN BAUTISTA ALBERDI Y SI,9,-58.51232237,-34.65903530,PEATON-SD,PEATON,SD
2016-0111,2016-08-25,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,09:30:00,9,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,LUGONES,SI,LUGONES Y SI,15,-58.47461905,-34.57663634,MOTO-CARGAS,MOTO,CARGAS
2016-0112,2016-08-27,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,04:40:00,4,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,AUTOPISTA 25 DE MAYO,SI,AUTOPISTA 25 DE MAYO Y SI,1,-58.38268809,-34.62282019,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0113,2016-08-27,2016,8,27,PEATON,PEATON,FEMENINO,60,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,16:45:00,16,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,AV. JUAN BAUTISTA ALBERDI,SI,AV. JUAN BAUTISTA ALBERDI Y SI,9,-58.49603546,-34.64564271,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0114,2016-08-31,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,11:20:00,11,SALGUERO 1410,CALLE,JERONIMO SALGUERO,NO,JERONIMO SALGUERO Y NO,14,-58.41848605,-34.59394733,BICICLETA-CARGAS,BICICLETA,CARGAS
2016-0115,2016-09-02,2016,9,2,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,11:50:00,11,ARIAS Y TRONADOR,CALLE,ARIAS,SI,ARIAS Y SI,12,-58.48935041,-34.54917673,SD-CARGAS,SD,CARGAS
2016-0116,2016-09-02,2016,9,2,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,20:20:00,20,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,AV. 27 DE FEBRERO,SI,AV. 27 DE FEBRERO Y SI,8,-58.44451316,-34.68475866,MOTO-AUTO,MOTO,AUTO
2016-0117,2016-09-03,2016,9,3,CONDUCTOR,AUTO,MASCULINO,43,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,15:30:00,15,AV DEL LIBERTADOR Y TAGLE,AVENIDA,AV. DEL LIBERTADOR,SI,AV. DEL LIBERTADOR Y SI,14,-58.39936478,-34.58271474,AUTO-AUTO,AUTO,AUTO
2016-0118,2016-09-04,2016,9,4,CONDUCTOR,AUTO,MASCULINO,27,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,03:30:00,3,AUTOPISTA 1 SUR PTE ARTURO FRONDIZI KM 2.9,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI Y NO,1,-58.37936704,-34.62694503,AUTO-AUTO,AUTO,AUTO
2016-0119,2016-09-04,2016,9,4,PASAJERO,MOTO,FEMENINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,06:40:00,6,CRISOLOGO LARRALDE Y AVDA TRIUNVIRATO,AVENIDA,AV. CRISOLOGO LARRALDE,SI,AV. CRISOLOGO LARRALDE Y SI,12,-58.49659234,-34.56353635,SD-SD,SD,SD
2016-0122,2016-09-13,2016,9,13,CICLISTA,BICICLETA,MASCULINO,49,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,07:10:00,7,AV EVA PERON 4233,AVENIDA,AV. EVA PERON,NO,AV. EVA PERON Y NO,9,-58.47256391,-34.65194557,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2016-0123,2016-09-14,2016,9,14,CONDUCTOR,MOTO,FEMENINO,58,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,09:00:00,9,AV ASAMBLEA Y AV CNEL ESTEBAN BONORINO,AVENIDA,AV. ASAMBLEA,SI,AV. ASAMBLEA Y SI,7,-58.45130953,-34.64053676,MOTO-AUTO,MOTO,AUTO
2016-0124,2016-09-16,2016,9,16,PEATON,PEATON,MASCULINO,67,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,15:24:00,15,AVDA RIVADAVIA Y RIVERA INDARTE,AVENIDA,AV. RIVADAVIA,SI,AV. RIVADAVIA Y SI,7,-58.46271207,-34.62884871,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0125,2016-09-17,2016,9,17,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,12:14:00,12,AUTOPISTA PERITO MORENO Y AV JUAN B ALBERDI,AUTOPISTA,AUTOPISTA PERITO MORENO,SI,AUTOPISTA PERITO MORENO Y SI,10,-58.49020869,-34.64243791,MOTO-MOTO,MOTO,MOTO
2016-0126,2016-09-18,2016,9,18,CONDUCTOR,AUTO,MASCULINO,37,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,2,22:45:00,22,IRIGOYEN Y TINOGASTA,CALLE,IRIGOYEN,SI,IRIGOYEN Y SI,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS
2016-0126,2016-09-18,2016,9,18,PASAJERO,AUTO,MASCULINO,60,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,2,22:45:00,22,IRIGOYEN Y TINOGASTA,CALLE,IRIGOYEN,SI,IRIGOYEN Y SI,10,-58.52572109,-34.62125906,AUTO-CARGAS,AUTO,CARGAS
2016-0127,2016-09-24,2016,9,24,PEATON,PEATON,MASCULINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,10:25:00,10,AV MARIANO ACOSTA Y AV CNEL ROCA,AVENIDA,MARIANO ACOSTA,SI,MARIANO ACOSTA Y SI,8,-58.44094791,-34.66677111,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0128,2016-10-02,2016,10,2,PEATON,PEATON,FEMENINO,81,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,11:30:00,11,CASTRO Y AV PAVON,AVENIDA,CASTRO,SI,CASTRO Y SI,5,-58.41914024,-34.63053890,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0130,2016-10-04,2016,10,4,CONDUCTOR,MOTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,12:30:00,12,AUTOPISTA 9 DE JULIO SUR Y AV BRASIL,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI Y NO,1,-58.37910942,-34.62764717,MOTO-CARGAS,MOTO,CARGAS
2016-0131,2016-10-09,2016,10,9,PEATON,PEATON,MASCULINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,19:13:00,19,MIRAVE 3500,CALLE,MIRAVE,NO,MIRAVE Y NO,4,-58.39871183,-34.64539318,PEATON-AUTO,PEATON,AUTO
2016-0132,2016-10-10,2016,10,10,PASAJERO,AUTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,02:30:00,2,AV SAN JUAN Y 24 DE NOVIEMBRE,AVENIDA,AV. SAN JUAN,SI,AV. SAN JUAN Y SI,3,-58.41036975,-34.62477021,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0133,2016-10-14,2016,10,14,CONDUCTOR,MOTO,MASCULINO,41,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,00:05:00,0,AV LAS HERAS Y SANCHEZ DE BUSTAMANTE,AVENIDA,AV. LAS HERAS GENERAL,SI,AV. LAS HERAS GENERAL Y SI,14,-58.40204698,-34.58342690,MOTO-AUTO,MOTO,AUTO
2016-0134,2016-10-23,2016,10,23,CONDUCTOR,MOTO,MASCULINO,25,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,05:00:00,5,AV PIEDRA BUENA Y 2 DE ABRIL 1982,AVENIDA,AV. PIEDRA BUENA,SI,AV. PIEDRA BUENA Y SI,8,-58.48935287,-34.67648597,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0135,2016-10-24,2016,10,24,PEATON,PEATON,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,05:00:00,5,AV FIGUEROA ALCORTA  Y PINEDO,AVENIDA,AV. PRES. FIGUEROA ALCORTA,SI,AV. PRES. FIGUEROA ALCORTA Y SI,14,-58.42260225,-34.56403694,PEATON-SD,PEATON,SD
2016-0136,2016-10-25,2016,10,25,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,00:00:00,0,AU BUENOS AIRES - LA PLATA KM. 4,AUTOPISTA,AUTOPISTA BUENOS AIRES - LA PLATA,NO,AUTOPISTA BUENOS AIRES - LA PLATA Y NO,4,0,0,MOTO-CARGAS,MOTO,CARGAS
2016-0137,2016-10-25,2016,10,25,CONDUCTOR,MOTO,MASCULINO,30,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,00:39:00,0,AV SAN MARTIN Y LADINES,AVENIDA,AV. SAN MARTIN,SI,AV. SAN MARTIN Y SI,11,-58.51537091,-34.59035925,MOTO-MOTO,MOTO,MOTO
2016-0138,2016-10-27,2016,10,27,CICLISTA,BICICLETA,FEMENINO,33,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,20:30:00,20,AV CABILDO Y BLANCO ENCALADA,AVENIDA,AV. CABILDO,SI,AV. CABILDO Y SI,13,-58.45909670,-34.55922742,BICICLETA-CARGAS,BICICLETA,CARGAS
2016-0139,2016-10-28,2016,10,28,PASAJERO,MOTO,FEMENINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,23:00:00,23,AV PRESIDENTE FIGUEROA ALCORTA Y AV DORREGO,AVENIDA,AV. PRES. FIGUEROA ALCORTA,SI,AV. PRES. FIGUEROA ALCORTA Y SI,14,-58.42008769,-34.56539579,MOTO-MOTO,MOTO,MOTO
2016-0140,2016-10-31,2016,10,31,PASAJERO,PASAJEROS,MASCULINO,20,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,02:58:00,2,AV JURAMENTO Y VUELTA DE OBLIGADO,AVENIDA,AV. JURAMENTO,SI,AV. JURAMENTO Y SI,13,-58.45566399,-34.56147293,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS
2016-0142,2016-11-05,2016,11,5,CONDUCTOR,MOTO,MASCULINO,46,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,23:30:00,23,AV DEL LIBERTADOR Y AV RAMOS MEJIA,AVENIDA,AV. DEL LIBERTADOR,SI,AV. DEL LIBERTADOR Y SI,1,-58.37533517,-34.59276462,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0143,2016-11-06,2016,11,6,CONDUCTOR,MOTO,MASCULINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,04:41:00,4,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,AV. 27 DE FEBRERO,SI,AV. 27 DE FEBRERO Y SI,8,-58.44451316,-34.68475866,MOTO-SD,MOTO,SD
2016-0144,2016-11-07,2016,11,7,PEATON,PEATON,MASCULINO,83,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,12:10:00,12,AV. ALTE. BROWN 984,AVENIDA,AV. ALTE. BROWN,NO,AV. ALTE. BROWN Y NO,4,-58.35975012,-34.63343907,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0145,2016-11-07,2016,11,7,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,20:56:00,20,AV DEL LIBERTADOR Y LA PAMPA,AVENIDA,AV. DEL LIBERTADOR,SI,AV. DEL LIBERTADOR Y SI,13,-58.44523595,-34.55953855,MOTO-AUTO,MOTO,AUTO
2016-0146,2016-11-09,2016,11,9,PEATON,PEATON,FEMENINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,20:00:00,20,PICHINCHA Y AV BRASIL,AVENIDA,AV. PICHINCHA,SI,AV. PICHINCHA Y SI,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0147,2016-11-16,2016,11,16,PASAJERO,MOVIL,MASCULINO,55,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,21:15:00,21,AV INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,AV. INDEPENDENCIA,SI,AV. INDEPENDENCIA Y SI,1,-58.38896772,-34.61799615,MOVIL-PASAJEROS,MOVIL,PASAJEROS
2016-0148,2016-11-16,2016,11,16,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,22:20:00,22,AV GARMENDIA 4895,AVENIDA,AV. GARMENDIA,NO,AV. GARMENDIA Y NO,15,-58.46536113,-34.59484504,MOTO-MOTO,MOTO,MOTO
2016-0150,2016-11-18,2016,11,18,PASAJERO,CARGAS,MASCULINO,41,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,18:20:00,18,AV AMANCIO ALCORTA Y DIOGENES TABORDA,AVENIDA,AV. AMANCIO ALCORTA,SI,AV. AMANCIO ALCORTA Y SI,4,-58.40879146,-34.65273216,CARGAS-CARGAS,CARGAS,CARGAS
2016-0151,2016-11-18,2016,11,18,PEATON,PEATON,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,20:35:00,20,SD,CALLE,SD,NO,NO,0,0,0,PEATON-SD,PEATON,SD
2016-0152,2016-11-23,2016,11,23,CONDUCTOR,MOTO,MASCULINO,42,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,21:10:00,21,AV PERITO MORENO Y ZUVIRIA,AVENIDA,AV. PERITO MORENO,SI,AV. PERITO MORENO Y SI,7,-58.46451841,-34.64991946,MOTO-AUTO,MOTO,AUTO
2016-0153,2016-11-25,2016,11,25,PEATON,PEATON,FEMENINO,83,FATAL,TERCERA EDAD,HOMOCIDIO CULPOSO,1,15:42:00,15,ARAOZ Y AV CORDOBA,AVENIDA,ARAOZ,SI,ARAOZ Y SI,15,-58.42917090,-34.59485488,PEATON-MOTO,PEATON,MOTO
2016-0154,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,38,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,14:14:00,14,AV GRAL PAZ 15200,AVENIDA,AV. GENERAL PAZ,NO,AV. GENERAL PAZ Y NO,8,-58.49007772,-34.68251141,MOTO-MOTO,MOTO,MOTO
2016-0155,2016-11-26,2016,11,26,PEATON,PEATON,FEMENINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,16:50:00,16,MADERO 900,CALLE,MADERO,NO,MADERO Y NO,10,-58.52756365,-34.62772274,PEATON-AUTO,PEATON,AUTO
2016-0156,2016-11-26,2016,11,26,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,19:40:00,19,AV INDEPENDENCIA Y DEAN FUNES,AVENIDA,AV. INDEPENDENCIA,SI,AV. INDEPENDENCIA Y SI,3,-58.40638983,-34.61943202,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0157,2016-12-03,2016,12,3,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,06:40:00,6,AV JUAN B JUSTO 5645,AVENIDA,AV. JUAN B. JUSTO,NO,AV. JUAN B. JUSTO Y NO,11,-58.47576807,-34.61740997,MOTO-MOTO,MOTO,MOTO
2016-0159,2016-12-04,2016,12,4,CONDUCTOR,AUTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,07:21:00,7,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,AV. 27 DE FEBRERO,SI,AV. 27 DE FEBRERO Y SI,8,-58.44451316,-34.68475866,AUTO-SD,AUTO,SD
2016-0160,2016-12-06,2016,12,6,CONDUCTOR,CARGAS,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,05:30:00,5,AUTOPISTA PERITO MORENO ALTURA VELZ,AUTOPISTA,AUTOPISTA PERITO MORENO,NO,AUTOPISTA PERITO MORENO Y NO,9,-58.51927194,-34.63635787,CARGAS-OBJETO FIJO,CARGAS,OBJETO FIJO
2016-0161,2016-12-06,2016,12,6,PEATON,PEATON,MASCULINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,07:22:00,7,AV SANTA FE Y GODOY CRUZ,AVENIDA,AV. SANTA FE,SI,AV. SANTA FE Y SI,14,-58.42525456,-34.57866344,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0162,2016-12-07,2016,12,7,PEATON,PEATON,MASCULINO,38,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,05:00:00,5,AV FEDERICO LACROZE Y AV FOREST,AVENIDA,AV. FEDERICO LACROZE,SI,AV. FEDERICO LACROZE Y SI,15,-58.45396573,-34.58518167,PEATON-AUTO,PEATON,AUTO
2016-0163,2016-12-10,2016,12,10,CONDUCTOR,MOTO,MASCULINO,23,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,07:30:00,7,AV GRAL PAZ Y AV GENERAL MOSCONI,AVENIDA,AV. GENERAL PAZ,SI,AV. GENERAL PAZ Y SI,11,-58.52340614,-34.59798754,MOTO-AUTO,MOTO,AUTO
2016-0164,2016-12-11,2016,12,11,CONDUCTOR,AUTO,MASCULINO,29,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,06:16:00,6,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,AV. LA PLATA,SI,AV. LA PLATA Y SI,4,-58.42323628,-34.64119105,AUTO-AUTO,AUTO,AUTO
2016-0165,2016-12-12,2016,12,12,CICLISTA,BICICLETA,MASCULINO,37,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,08:25:00,8,AV MARTIN GARCIA 300,AVENIDA,AV. MARTIN GARCIA,NO,AV. MARTIN GARCIA Y NO,4,-58.36926144,-34.62841919,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS
2016-0168,2016-12-13,2016,12,13,CONDUCTOR,MOTO,MASCULINO,43,FATAL,ADULTO MADURO,HOMOCIDIO CULPOSO,1,10:40:00,10,AV LA PLATA Y CNEL GREGORIO POMAR,AVENIDA,AV. LA PLATA,SI,AV. LA PLATA Y SI,4,-58.42323628,-34.64119105,MOTO-AUTO,MOTO,AUTO
2016-0169,2016-12-15,2016,12,15,CONDUCTOR,MOTO,MASCULINO,24,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,15:30:00,15,NUÑEZ Y AV RICARDO BALBIN,AVENIDA,NU?EZ,SI,NU?EZ Y SI,12,-58.47935434,-34.55676497,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0170,2016-12-19,2016,12,19,PASAJERO,MOTO,MASCULINO,21,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,17:10:00,17,AV GRAL PAZ 4500,AVENIDA,AV. GENERAL PAZ,NO,AV. GENERAL PAZ Y NO,12,-58.50598256,-34.56379980,MOTO-AUTO,MOTO,AUTO
2016-0171,2016-12-25,2016,12,25,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,19:00:00,19,AU BUENOS AIRES - LA PLATA Y AU 25 DE MAYO,AUTOPISTA,AV. ING. HUERGO,SI,AV. ING. HUERGO Y SI,1,-58.36607137,-34.62150748,MOTO-MOTO,MOTO,MOTO
2016-0172,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,38,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,08:00:00,8,AV GARAY Y CASTRO,AVENIDA,AV. JUAN DE GARAY,SI,AV. JUAN DE GARAY Y SI,5,-58.41918902,-34.63174259,MOTO-CARGAS,MOTO,CARGAS
2016-0173,2016-12-26,2016,12,26,CONDUCTOR,MOTO,MASCULINO,35,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,19:52:00,19,AV DIRECTORIO Y AV SAN PEDRITO,AVENIDA,AV. DIRECTORIO,SI,AV. DIRECTORIO Y SI,7,-58.46749188,-34.63551751,MOTO-CARGAS,MOTO,CARGAS
2016-0174,2016-12-27,2016,12,27,CONDUCTOR,MOTO,MASCULINO,39,FATAL,ADULTO MEDIANA EDAD,HOMOCIDIO CULPOSO,1,00:00:00,0,AUTOPISTA 25 DE MAYO,AUTOPISTA,AUTOPISTA 25 DE MAYO,NO,AUTOPISTA 25 DE MAYO Y NO,0,0,0,SD-SD,SD,SD
2016-0175,2016-12-27,2016,12,27,PEATON,PEATON,FEMENINO,50,FATAL,ADULTO MAYOR,HOMOCIDIO CULPOSO,1,08:15:00,8,CNEL RAMON L FALCON Y MEMBRILLAR,CALLE,CORONEL RAMON L. FALCON,SI,CORONEL RAMON L. FALCON Y SI,7,-58.46064174,-34.62960517,PEATON-BICICLETA,PEATON,BICICLETA
2016-0176,2016-12-28,2016,12,28,CONDUCTOR,MOTO,MASCULINO,28,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,01:41:00,1,AV BELGRANO Y AV PASEO COLON,AVENIDA,AV. BELGRANO,SI,AV. BELGRANO Y SI,1,-58.36956186,-34.61232875,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0177,2016-12-29,2016,12,29,PEATON,PEATON,FEMENINO,27,FATAL,ADULTO JOVEN,HOMOCIDIO CULPOSO,1,04:00:00,4,ARENALES 3319,CALLE,ARENALES,NO,ARENALES Y NO,14,-58.40966671,-34.58788235,PEATON-AUTO,PEATON,AUTO
